"Chapter","Setting","Compliance"
"INTERNET PRINTING","Turn off printing over HTTP is not configured","Non-Compliant (Due to Non-Configuration)"
"LEGACY AND RUN ONCE LISTS",,
"LEGACY AND RUN ONCE LISTS","Do not process the legacy run list is not configured","Non-Compliant (Due to Non-Configuration)"
"LEGACY AND RUN ONCE LISTS","Do not process the run once list is not configured","Non-Compliant (Due to Non-Configuration)"
"LEGACY AND RUN ONCE LISTS","Run These Programs At User Logon is disabled, no run keys are set","Compliant"
"MICROSOFT ACCOUNTS",,
"MICROSOFT ACCOUNTS","Block all consumer Microsoft account user authentication is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT ACCOUNTS","Prevent the usage of OneDrive for file storage is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT ACCOUNTS","This setting is unable to be checked with PowerShell as it is a registry key, please manually check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options","Unknown"
"MSS SETTINGS",,
"MSS SETTINGS","MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing) is not configured","Non-Compliant (Due to Non-Configuration)"
"MSS SETTINGS","MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing) is not configured","Non-Compliant (Due to Non-Configuration)"
"MSS SETTINGS","MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes is not configured","Non-Compliant (Due to Non-Configuration)"
"MSS SETTINGS","MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers is not configured","Non-Compliant (Due to Non-Configuration)"
"NETBIOS OVER TCP/IP",,
"NETBIOS OVER TCP/IP","NetBIOS Over TCP/IP service is running, NetBIOS over TCP/IP is likely enabled","Non-Compliant"
"NETWORK AUTHENTICATION",,
"NETWORK AUTHENTICATION","Network security: Configure encryption types allowed for Kerberos is not configured","Non-Compliant (Due to Non-Configuration)"
"NETWORK AUTHENTICATION","Network security: LAN Manager authentication level is not configured","Non-Compliant (Due to Non-Configuration)"
"NETWORK AUTHENTICATION","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients is configured with a non-compliant setting, it must be set to Require NTLMv2 session security and Require 128-bit encryption","Non-Compliant"
"NETWORK AUTHENTICATION","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers is configured with a non-compliant setting, it must be set to Require NTLMv2 session security and Require 128-bit encryption","Non-Compliant"
"NOLM HASH POLICY",,
"NOLM HASH POLICY","Network security: Do not store LAN Manager hash value on next password change is enabled","Compliant"
"OPERATING SYSTEM FUNCTIONALITY",,
"OPERATING SYSTEM FUNCTIONALITY","There are 205 services present on this machine, however only 29 have been disabled. This indicates that no functionality reduction, or a minimal level of functionality reduction has been applied to this machine.","Non-Compliant"
"POWER MANAGEMENT",,
"POWER MANAGEMENT","Allow standby states (S1-S3) when sleeping (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Allow standby states (S1-S3) when sleeping (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Require a password when a computer wakes (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Require a password when a computer wakes (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the system hibernate timeout (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the system hibernate timeout (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the system sleep timeout (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the system sleep timeout (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the unattended sleep timeout (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Specify the unattended sleep timeout (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Turn off hybrid sleep (on battery) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Turn off hybrid sleep (plugged in) is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Show hibernate in the power options menu is not configured","Non-Compliant (Due to Non-Configuration)"
"POWER MANAGEMENT","Show sleep in the power options menu is not configured","Non-Compliant (Due to Non-Configuration)"
"POWERSHELL",,
"POWERSHELL","Turn on PowerShell Script Block Logging is not configured","Non-Compliant (Due to Non-Configuration)"
"POWERSHELL","Turn on PowerShell Script Block Invocation Logging is not configured","Non-Compliant (Due to Non-Configuration)"
"POWERSHELL","Turn on Script Execution is not configured","Non-Compliant (Due to Non-Configuration)"
"POWERSHELL","Script Execution is not configured","Non-Compliant (Due to Non-Configuration)"
"REGISTRY EDITING TOOLS",,
"REGISTRY EDITING TOOLS","Prevent access to registry editing tools is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE ASSISTANCE",,
"REMOTE ASSISTANCE","Configure Offer Remote Assistance is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE ASSISTANCE","Configure Solicited Remote Assistance is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES",,
"REMOTE DESKTOP SERVICES","Allow users to connect remotely by using Remote Desktop Services is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","No members are allowed to logon through remote desktop services, this setting is compliant","Compliant"
"REMOTE DESKTOP SERVICES","Unable to check members of deny logon through remote desktop services at this time please manually check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Deny Logon through Remote Desktop Services and ensure 'Administrators' 'Guests' and 'NT Authority\Local Account' are members","Unknown"
"REMOTE DESKTOP SERVICES","Remote host allows delegation of non-exportable credentials is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Configure server authentication for client is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Do not allow passwords to be saved is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Deny logoff of an administrator logged in to the console session is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Do not allow Clipboard redirection is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Do not allow drive redirection is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Always prompt for password upon connection is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Do not allow local administrators to customize permissions is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Require secure RPC communication is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Require use of specific security layer for remote (RDP) connections is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Require user authentication for remote connections by using Network Level Authentication is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE DESKTOP SERVICES","Set client connection encryption level is not configured","Non-Compliant (Due to Non-Configuration)"
"REMOTE PROCEDURE CALL",,
"REMOTE PROCEDURE CALL","Restrict Unauthenticated RPC clients is not configured","Non-Compliant (Due to Non-Configuration)"
"REPORTING SYSTEM INFORMATION",,
"REPORTING SYSTEM INFORMATION","Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider is not configured","Non-Compliant (Due to Non-Configuration)"
"REPORTING SYSTEM INFORMATION","Turn off Inventory Collector is not configured","Non-Compliant (Due to Non-Configuration)"
"REPORTING SYSTEM INFORMATION","Turn off Steps Recorder is not configured","Non-Compliant (Due to Non-Configuration)"
"REPORTING SYSTEM INFORMATION","Allow Telemetry is enabled in Local Machine GP","Compliant"
"REPORTING SYSTEM INFORMATION","Configure Corporate Windows Error Reporting is not configured","Non-Compliant"
"REPORTING SYSTEM INFORMATION","Connect using SSL is not configured","Non-Compliant (Due to Non-Configuration)"
"SAFE MODE",,
"SAFE MODE","Block Non-Administrators in Safe Mode not configured","Non-Compliant (Due to Non-Configuration)"
"SECURE CHANNEL COMMUNICATIONS",,
"SECURE CHANNEL COMMUNICATIONS","Domain member: Digitally encrypt or sign secure channel data (always) is enabled","Compliant"
"SECURE CHANNEL COMMUNICATIONS","Domain member: Digitally encrypt secure channel data (when possible) is enabled","Compliant"
"SECURE CHANNEL COMMUNICATIONS","Domain member: Digitally sign secure channel data (when possible) is enabled","Compliant"
"SECURE CHANNEL COMMUNICATIONS","Domain member: Require strong (Windows 2000 or later) session key is enabled","Compliant"
"SECURITY POLICIES",,
"SECURITY POLICIES","Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Turn off Microsoft consumer experiences is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Turn off heap termination on corruption is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Turn off shell protocol protected mode is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Prevent downloading of enclosures is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Allow indexing of encrypted files is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Enables or disables Windows Game Recording and Broadcasting is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Domain member: Disable machine account password changes is disabled","Compliant"
"SECURITY POLICIES","Domain member: Maximum machine account password age is set to a compliant setting","Compliant"
"SECURITY POLICIES","Network security: Allow PKU2U authentication requests to this computer to use online identities is not configured","Non-Compliant (Due to Non-Configuration)"
"SECURITY POLICIES","Unable to check Network security: Force logoff when logon hours expire because it is not a registry setting. Please manually check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options and ensure this is set to enabled.","Unknown"
"SECURITY POLICIES","Network security: LDAP client signing requirements is enabled and set to Negotiate Signing","Compliant"
"SECURITY POLICIES","System objects: Require case insensitivity for non-Windows subsystems is enabled","Compliant"
"SECURITY POLICIES","System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links) is enabled","Compliant"
"SERVER MESSAGE BLOCK SESSIONS",,
"SERVER MESSAGE BLOCK SESSIONS","Configure SMB v1 client driver is not configured","Non-Compliant (Due to Non-Configuration)"
"SERVER MESSAGE BLOCK SESSIONS","Configure SMB v1 server is not configured","Non-Compliant (Due to Non-Configuration)"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft Network Client: Digitally sign communications (always) is disabled","Non-Compliant"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft network client: Digitally sign communications (if server agrees) is enabled","Compliant"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft network client: Send unencrypted password to third-party SMB servers is disabled","Compliant"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft network server: Amount of idle time required before suspending session is less than or equal to 15 mins","Compliant"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft network server: Digitally sign communications (always) is disabled","Non-Compliant"
"SERVER MESSAGE BLOCK SESSIONS","Microsoft network server: Digitally sign communications (if client agrees) is disabled","Non-Compliant"
"SESSION LOCKING",,
"SESSION LOCKING","Prevent enabling lock screen camera is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Prevent enabling lock screen slide show is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Allow users to select when a password is required when resuming from connected standby is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Turn off app notifications on the lock screen is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Show lock in the user tile menu is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Allow Windows Ink Workspace is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","No inactivity timeout has been configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Enable screen saver is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Password protect the screen saver is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Screen saver timeout is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Turn off toast notifications on the lock screen is not configured","Non-Compliant (Due to Non-Configuration)"
"SESSION LOCKING","Do not suggest third-party content in Windows spotlight is not configured","Non-Compliant (Due to Non-Configuration)"
"SOFTWARE-BASED FIREWALLS",,
"SOFTWARE-BASED FIREWALLS","Unable to confirm if an effective, application based software firewall is in use on this endpoint. Please confirm that a software firewall is in use on this host, listing explicitly which applications can generate inbound and outbound network traffic.","Unknown"
"SOUND RECORDER",,
"SOUND RECORDER","Do not allow Sound Recorder to run is not configured","Non-Compliant (Due to Non-Configuration)"
"STANDARD OPERATING ENVIRONMENT",,
"STANDARD OPERATING ENVIRONMENT","This script is unable to check if a Standard Operating Environment (SOE) was used to build this image. Please manually confirm if the computer was built using a SOE image process","Unknown"
"SYSTEM BACKUP AND RESTORE",,
"SYSTEM BACKUP AND RESTORE","Unable to check Backup Files and Directories setting at this time, please check manually Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Backup Files and Directories. Only Administrators should be members of this setting","Unknown"
"SYSTEM BACKUP AND RESTORE","Unable to check Restore Files and Directories setting at this time, please check manually Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Restore Files and Directories. Only Administrators should be members of this setting","Unknown"
"SYSTEM CRYPTOGRAPHY",,
"SYSTEM CRYPTOGRAPHY","System cryptography: Force strong key protection for user keys stored on the computer is not configured","Non-Compliant (Due to Non-Configuration)"
"SYSTEM CRYPTOGRAPHY","Use FIPS compliant algorithms for encryption, hashing and signing is not configured","Non-Compliant (Due to Non-Configuration)"
"USER RIGHTS POLICIES",,
"USER RIGHTS POLICIES","Unable to check this chapter as it requires a GPO export to view the settings (they are not stored locally). Please check policies located at 'Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment'","Unknown"
"VIRTUALISED WEB AND EMAIL ACCESS",,
"VIRTUALISED WEB AND EMAIL ACCESS","This machine was detected to be a physical machine, if this machine is used to browse the web and check e-mail, you are non compliant with this chapter of the guide","Non-Compliant"
"WINDOWS REMOTE MANAGEMENT",,
"WINDOWS REMOTE MANAGEMENT","Allow Basic authentication is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE MANAGEMENT","Allow unencrypted traffic is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE MANAGEMENT","Disallow Digest authentication is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE MANAGEMENT","Allow Basic authentication is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE MANAGEMENT","Allow unencrypted traffic is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE MANAGEMENT","Disallow WinRM from storing RunAs credentials is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS REMOTE SHELL ACCESS",,
"WINDOWS REMOTE SHELL ACCESS","Allow Remote Shell Access is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS SEARCH AND CORTANA",,
"WINDOWS SEARCH AND CORTANA","Allow Cortana is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS SEARCH AND CORTANA","Don't search the web or display web results in Search is not configured","Non-Compliant (Due to Non-Configuration)"
"WINDOWS TO GO",,
"WINDOWS TO GO","Windows To Go Default Startup Options is not configured","Non-Compliant (Due to Non-Configuration)"
"DISPLAYING FILE EXTENSIONS",,
"DISPLAYING FILE EXTENSIONS","Display file extensions is disabled","Non-Compliant"
"FILE AND FOLDER SECURITY PROPERTIES",,
"FILE AND FOLDER SECURITY PROPERTIES","Remove Security tab is not configured","Non-Compliant (Due to Non-Configuration)"
"LOCATION AWARENESS",,
"LOCATION AWARENESS","Turn off location is not configured","Non-Compliant (Due to Non-Configuration)"
"LOCATION AWARENESS","Turn off location scripting is not configured","Non-Compliant (Due to Non-Configuration)"
"LOCATION AWARENESS","Turn off Windows Location Provider is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT STORE",,
"MICROSOFT STORE","Turn off access to the Store is not configured","Non-Compliant (Due to Non-Configuration)"
"MICROSOFT STORE","Turn off the Store application is not configured","Non-Compliant (Due to Non-Configuration)"
"PUBLISHING INFORMATION TO THE WEB",,
"PUBLISHING INFORMATION TO THE WEB","Turn off Internet download for Web publishing and online ordering wizards is not configured","Non-Compliant (Due to Non-Configuration)"
"RESULTANT SET OF POLICY REPORTING",,
"RESULTANT SET OF POLICY REPORTING","Determine if interactive users can generate Resultant Set of Policy data is not configured","Non-Compliant (Due to Non-Configuration)"
"",,
